id,title,body,labels,milestone
E1-F1-I1,E1-F1-I1: Implement Laravel auth scaffolding,"### Summary
Set up Laravel authentication scaffolding to provide core login, registration, and password reset flows.

### Scope
- [ ] Install and configure Laravel auth starter kit
- [ ] Enable email verification and password reset notifications
- [ ] Cover login and registration with feature tests

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1
",epic:AuthenticationUserManagement;type:Backend;priority:P0;area:Authentication,Week 1
E1-F1-I2,E1-F1-I2: Configure role definitions & middleware guards,"### Summary
Seed user roles with permissions and enforce route access via middleware and policies.

### Scope
- [ ] Define roles and permissions for Admin, Editor, Author, Viewer
- [ ] Register middleware and policies for protected routes
- [ ] Write authorization feature tests for forbidden access

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I1, E11-F1-I5
",epic:AuthenticationUserManagement;type:Backend;priority:P0;area:Authorization,Week 1
E1-F1-I3,E1-F1-I3: Develop user management controllers & validation,"### Summary
Build CRUD controllers and services for managing users with strict validation rules.

### Scope
- [ ] Implement user controller actions for create/update/delete
- [ ] Add request validation preventing privilege escalation
- [ ] Return consistent success and error responses

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I2, E11-F1-I2
",epic:AuthenticationUserManagement;type:Backend;priority:P1;area:UserManagement,Week 2
E1-F1-I4,E1-F1-I4: Build user management Blade UI,"### Summary
Create Blade views for listing, filtering, and editing users within the admin layout.

### Scope
- [ ] Design user list with filters and pagination
- [ ] Create forms for user create/edit with role selectors
- [ ] Automate browser tests for UI CRUD flows

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I3
",epic:AuthenticationUserManagement;type:Frontend;priority:P1;area:UserManagementUi,Week 2
E1-F1-I5,E1-F1-I5: Enforce password policy and session timeout,"### Summary
Apply password complexity rules and configure idle session timeout for user security.

### Scope
- [ ] Define password validation rules including complexity
- [ ] Configure middleware to enforce session timeout
- [ ] Localize user-facing policy violation messages

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I1
",epic:AuthenticationUserManagement;type:Backend;priority:P1;area:Security,Week 2
E1-F1-I6,E1-F1-I6: Implement user action audit logging,"### Summary
Capture audit log entries for user CRUD actions and expose admin reporting.

### Scope
- [ ] Create audit log table and Eloquent model
- [ ] Emit events/listeners to record user management actions
- [ ] Build filtered report view for audit records

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E1-F1-I3, E11-F1-I3
",epic:AuthenticationUserManagement;type:Backend;priority:P1;area:Auditing,Week 3
E1-F1-I7,E1-F1-I7: TBD: Clarify two-factor authentication rollout,"### Summary
Document desired two-factor authentication approach and approvals for post-MVP planning.

### Scope
- [ ] Meet stakeholders to capture 2FA requirements
- [ ] Document recommended libraries and UX considerations
- [ ] Record approvals and create follow-up backlog item

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: None
",epic:AuthenticationUserManagement;type:Documentation;priority:P3;area:Authentication,Week 4
E2-F1-I1,E2-F1-I1: Design unified content schema,"### Summary
Create unified content database schema and model supporting posts and pages.

### Scope
- [ ] Author migration for unified content table
- [ ] Implement Eloquent model with polymorphic relations
- [ ] Seed sample content data for testing

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E11-F1-I1, E11-F1-I2
",epic:ContentManagementPagesPosts;type:Backend;priority:P0;area:ContentModel,Week 1
E2-F1-I2,E2-F1-I2: Implement content status transitions,"### Summary
Establish state machine enforcing draft, review, published, and scheduled content states.

### Scope
- [ ] Define state machine for content lifecycle
- [ ] Prevent invalid transitions with descriptive errors
- [ ] Add unit tests for each workflow path

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1, E11-F1-I3
",epic:ContentManagementPagesPosts;type:Backend;priority:P1;area:Workflow,Week 2
E2-F1-I3,E2-F1-I3: Build slug generation and validation service,"### Summary
Provide service to auto-generate unique slugs with validation rules for content titles.

### Scope
- [ ] Implement slug generation with transliteration
- [ ] Enforce reserved and duplicate slug validation
- [ ] Trigger auto-generation on title updates

### Acceptance Criteria
- [ ] CRUD/API/Filament with RBAC
- [ ] Tenant/brand scope enforced
- [ ] Audit log entries
- [ ] Indexes on foreign keys
- [ ] Tests (happy + error paths)

### Notes
- tenant-scope, RBAC, audit-log
- Observability: JSON logs + correlation-id
- Dependencies: E2-F1-I1
",epic:ContentManagementPagesPosts;type:Backend;priority:P1;area:ContentModel,Week 1
